Behaviors;Observations;Intervals;F1;F2;F3;F4;M1
anogenitalsniffing;C9F-formalin;900.00-1200.00;0;0;0;0;0
anogenitalsniffing;C9F-formalin;1200.00-1500.00;0;0;0;0;0
anogenitalsniffing;C9F-formalin;1500.00-1800.00;0;0;4;0;1
anogenitalsniffing;C10F-formalin;0.00-300.00;0;0;0;0;2
anogenitalsniffing;C10F-formalin;300.00-600.00;0;0;1;0;2
anogenitalsniffing;C10F-formalin;600.00-900.00;0;0;2;1;1
anogenitalsniffing;C10F-formalin;900.00-1200.00;0;0;0;0;3
anogenitalsniffing;C10F-formalin;1200.00-1500.00;1;0;0;5;0
anogenitalsniffing;C10F-formalin;1500.00-1800.00;2;0;0;0;0
approach;C7F-baseline;0.00-300.00;7;19;3;3;0
approach;C7F-baseline;300.00-600.00;2;2;0;9;0
approach;C7F-baseline;600.00-900.00;1;8;0;10;5
approach;C7F-baseline;900.00-1200.00;4;11;0;10;1
approach;C7F-baseline;1200.00-1500.00;0;3;7;3;4
approach;C7F-baseline;1500.00-1800.00;0;3;1;7;0
approach;C8F-baseline;0.00-300.00;7;1;5;9;10
approach;C8F-baseline;300.00-600.00;16;9;2;4;10
approach;C8F-baseline;600.00-900.00;4;9;13;6;18
approach;C8F-baseline;900.00-1200.00;8;10;7;3;11
approach;C8F-baseline;1200.00-1500.00;11;5;5;1;16
approach;C8F-baseline;1500.00-1800.00;1;6;6;1;5
approach;C9F-baseline;0.00-300.00;14;16;12;11;15
approach;C9F-baseline;300.00-600.00;5;11;6;5;10
approach;C9F-baseline;600.00-900.00;18;6;12;7;11
approach;C9F-baseline;900.00-1200.00;10;12;9;0;3
approach;C9F-baseline;1200.00-1500.00;6;6;7;0;2
approach;C9F-baseline;1500.00-1800.00;11;19;12;0;0
approach;C10-baseline;0.00-300.00;17;14;18;14;18
approach;C10-baseline;300.00-600.00;6;0;8;9;8
approach;C10-baseline;600.00-900.00;3;4;6;8;11
approach;C10-baseline;900.00-1200.00;2;7;1;0;6
approach;C10-baseline;1200.00-1500.00;0;2;1;0;0
approach;C10-baseline;1500.00-1800.00;3;3;1;2;8
approach;C7F-formalin;0.00-300.00;0;3;11;2;6
approach;C7F-formalin;300.00-600.00;0;2;7;8;3
approach;C7F-formalin;600.00-900.00;0;3;5;5;0
approach;C7F-formalin;900.00-1200.00;0;2;8;4;2
approach;C7F-formalin;1200.00-1500.00;5;8;6;5;6
approach;C7F-formalin;1500.00-1800.00;2;4;11;12;0
approach;C8F-formalin;0.00-300.00;7;2;16;23;9
approach;C8F-formalin;300.00-600.00;3;8;6;6;12
approach;C8F-formalin;600.00-900.00;7;9;10;15;7
approach;C8F-formalin;900.00-1200.00;2;3;2;8;15
approach;C8F-formalin;1200.00-1500.00;2;0;11;13;5
approach;C8F-formalin;1500.00-1800.00;0;3;12;14;13
approach;C9F-formalin;0.00-300.00;2;13;11;11;2
approach;C9F-formalin;300.00-600.00;6;11;11;15;8
approach;C9F-formalin;600.00-900.00;0;4;5;5;3
approach;C9F-formalin;900.00-1200.00;2;6;3;8;0
approach;C9F-formalin;1200.00-1500.00;9;2;12;5;0
approach;C9F-formalin;1500.00-1800.00;11;1;8;6;4
approach;C10F-formalin;0.00-300.00;3;3;11;7;11
approach;C10F-formalin;300.00-600.00;0;1;7;9;3
approach;C10F-formalin;600.00-900.00;0;0;8;3;9
approach;C10F-formalin;900.00-1200.00;9;2;2;9;7
