Behaviors;Observations;Intervals;F1-F;F2-F;F3-S;F4-S;M1-S
drinking;C1F-formalin;1200.00-1500.00;0;0;0;0;0
drinking;C1F-formalin;1500.00-1800.00;0;0;0;0;0
drinking;C2F-formalin;0.00-300.00;0;0;0;1;0
drinking;C2F-formalin;300.00-600.00;0;0;0;0;0
drinking;C2F-formalin;600.00-900.00;0;0;0;2;0
drinking;C2F-formalin;900.00-1200.00;0;2;1;0;0
drinking;C2F-formalin;1200.00-1500.00;0;0;0;0;0
drinking;C2F-formalin;1500.00-1800.00;0;0;0;0;2
drinking;C5F-formalin;0.00-300.00;0;0;0;0;0
drinking;C5F-formalin;300.00-600.00;0;0;1;0;0
drinking;C5F-formalin;600.00-900.00;0;0;0;0;0
drinking;C5F-formalin;900.00-1200.00;0;0;0;0;0
drinking;C5F-formalin;1200.00-1500.00;1;0;0;0;0
drinking;C5F-formalin;1500.00-1800.00;2;0;0;0;0
drinking;C6F-formalin;0.00-300.00;0;0;0;1;0
drinking;C6F-formalin;300.00-600.00;0;1;0;0;0
drinking;C6F-formalin;600.00-900.00;0;0;0;0;0
drinking;C6F-formalin;900.00-1200.00;0;0;0;0;0
drinking;C6F-formalin;1200.00-1500.00;0;0;0;0;0
drinking;C6F-formalin;1500.00-1800.00;0;0;1;0;0
restingalone;C1F-baseline;0.00-300.00;0;3.53342;2.16672;0;0
restingalone;C1F-baseline;300.00-600.00;0;0;0;0;0
restingalone;C1F-baseline;600.00-900.00;2.93341;0;0;0;0
restingalone;C1F-baseline;900.00-1200.00;0;0;0;0;0
restingalone;C1F-baseline;1200.00-1500.00;0;0;0;0;0
restingalone;C1F-baseline;1500.00-1800.00;0;0;0;0;0
restingalone;C2F-baseline;0.00-300.00;0;0;33.7979;0;0
restingalone;C2F-baseline;300.00-600.00;0;0;45.7028;0;0
restingalone;C2F-baseline;600.00-900.00;0;0;0;0;0
restingalone;C2F-baseline;900.00-1200.00;0;0;0;0;0
restingalone;C2F-baseline;1200.00-1500.00;0;0;0;0;11.9668
restingalone;C2F-baseline;1500.00-1800.00;0;0;0;0;0
restingalone;C5F-baseline;0.00-300.00;0;0;0;45.7337;0
restingalone;C5F-baseline;300.00-600.00;0;0;4.6667;2.60002;0
restingalone;C5F-baseline;600.00-900.00;0;0;0;0;0
restingalone;C5F-baseline;900.00-1200.00;0;0;0;0;0
restingalone;C5F-baseline;1200.00-1500.00;0;0;0;0;0
restingalone;C5F-baseline;1500.00-1800.00;0;0;0;0;0
restingalone;C6F-baseline;0.00-300.00;0;0;0;40.167;0
restingalone;C6F-baseline;300.00-600.00;0;33.0003;0;0;0
restingalone;C6F-baseline;600.00-900.00;0;59.5005;0;0;13.1334
restingalone;C6F-baseline;900.00-1200.00;0;28.7906;0;0;0
restingalone;C6F-baseline;1200.00-1500.00;0;267.445;0;0;0
restingalone;C6F-baseline;1500.00-1800.00;0;69.0672;0;0;47.1337
restingalone;C1F-formalin;0.00-300.00;0;0;0;0;0
restingalone;C1F-formalin;300.00-600.00;2.63334;0;0;0;4.53334
restingalone;C1F-formalin;600.00-900.00;0;0;0;0;16.5316
restingalone;C1F-formalin;900.00-1200.00;0;0;0;0;61.2686
restingalone;C1F-formalin;1200.00-1500.00;0;0;0;0;0
restingalone;C1F-formalin;1500.00-1800.00;0;0;0;0;0
restingalone;C2F-formalin;0.00-300.00;0;0;0;0;0
restingalone;C2F-formalin;300.00-600.00;0;0;0;0;117.234
restingalone;C2F-formalin;600.00-900.00;0;0;0;0;96.866
restingalone;C2F-formalin;900.00-1200.00;0;7.46666;0;0;0
restingalone;C2F-formalin;1200.00-1500.00;14.2;0;0;0;0
restingalone;C2F-formalin;1500.00-1800.00;17.6666;0;0;0;1.6
restingalone;C5F-formalin;0.00-300.00;41.6337;28.3665;0;0;0
restingalone;C5F-formalin;300.00-600.00;0;116.035;0;0;0
restingalone;C5F-formalin;600.00-900.00;0;0;0;0;0
restingalone;C5F-formalin;900.00-1200.00;0;0;0;0;0
restingalone;C5F-formalin;1200.00-1500.00;0;0;0;0;0
restingalone;C5F-formalin;1500.00-1800.00;0;0;0;0;0
restingalone;C6F-formalin;0.00-300.00;0;0;2.83336;0;69.2339
restingalone;C6F-formalin;300.00-600.00;0;0;0;0;0
restingalone;C6F-formalin;600.00-900.00;3.9405;0;0;0;0
restingalone;C6F-formalin;900.00-1200.00;0;0;0;0;0
restingalone;C6F-formalin;1200.00-1500.00;2.20002;0;0;0;0
restingalone;C6F-formalin;1500.00-1800.00;43.067;0;0;0;0
zaps;C1F-baseline;0.00-300.00;0;0;0;1;1
zaps;C1F-baseline;300.00-600.00;0;1;0;3;5
zaps;C1F-baseline;600.00-900.00;0;2;1;0;0
zaps;C1F-baseline;900.00-1200.00;0;0;1;2;1
zaps;C1F-baseline;1200.00-1500.00;0;0;0;1;2
zaps;C1F-baseline;1500.00-1800.00;0;0;1;1;1
zaps;C2F-baseline;0.00-300.00;1;0;2;1;1
zaps;C2F-baseline;300.00-600.00;0;0;0;0;0
zaps;C2F-baseline;600.00-900.00;2;0;0;0;0
zaps;C2F-baseline;900.00-1200.00;0;0;0;0;0
zaps;C2F-baseline;1200.00-1500.00;0;0;0;0;0
zaps;C2F-baseline;1500.00-1800.00;0;0;0;0;0
zaps;C5F-baseline;0.00-300.00;5;3;1;0;3
zaps;C5F-baseline;300.00-600.00;1;1;0;0;1
zaps;C5F-baseline;600.00-900.00;0;0;0;2;0
zaps;C5F-baseline;900.00-1200.00;1;1;1;2;0
