injection_area;phase;exp;ID;treatment;Behaviors;Intervals;totnb
neck;test;SN;524;saline;backscratching;6;5
paw;baseline;FH;G2F1;baseline;backscratching;1;1
paw;baseline;FH;G2F1;baseline;backscratching;2;0
paw;baseline;FH;G2F1;baseline;backscratching;3;0
paw;baseline;FH;G2F1;baseline;backscratching;4;0
paw;baseline;FH;G2F1;baseline;backscratching;5;0
paw;baseline;FH;G2F1;baseline;backscratching;6;0
paw;test;FH;G2F1;formalin;backscratching;1;0
paw;test;FH;G2F1;formalin;backscratching;2;0
paw;test;FH;G2F1;formalin;backscratching;3;3
paw;test;FH;G2F1;formalin;backscratching;4;13
paw;test;FH;G2F1;formalin;backscratching;5;5
paw;test;FH;G2F1;formalin;backscratching;6;1
paw;baseline;FH;G2F2;baseline;backscratching;1;0
paw;baseline;FH;G2F2;baseline;backscratching;2;0
paw;baseline;FH;G2F2;baseline;backscratching;3;0
paw;baseline;FH;G2F2;baseline;backscratching;4;0
paw;baseline;FH;G2F2;baseline;backscratching;5;0
paw;baseline;FH;G2F2;baseline;backscratching;6;0
paw;test;FH;G2F2;formalin;backscratching;1;0
paw;test;FH;G2F2;formalin;backscratching;2;0
paw;test;FH;G2F2;formalin;backscratching;3;2
paw;test;FH;G2F2;formalin;backscratching;4;0
paw;test;FH;G2F2;formalin;backscratching;5;0
paw;test;FH;G2F2;formalin;backscratching;6;0
paw;baseline;FH;G3F1;baseline;backscratching;1;0
paw;baseline;FH;G3F1;baseline;backscratching;2;0
paw;baseline;FH;G3F1;baseline;backscratching;3;3
paw;baseline;FH;G3F1;baseline;backscratching;4;0
paw;baseline;FH;G3F1;baseline;backscratching;5;1
paw;baseline;FH;G3F1;baseline;backscratching;6;1
paw;test;FH;G3F1;formalin;backscratching;1;0
paw;test;FH;G3F1;formalin;backscratching;2;8
paw;test;FH;G3F1;formalin;backscratching;3;7
paw;test;FH;G3F1;formalin;backscratching;4;12
paw;test;FH;G3F1;formalin;backscratching;5;5
paw;test;FH;G3F1;formalin;backscratching;6;9
paw;baseline;FH;G3F2;baseline;backscratching;1;0
paw;baseline;FH;G3F2;baseline;backscratching;2;0
paw;baseline;FH;G3F2;baseline;backscratching;3;1
paw;baseline;FH;G3F2;baseline;backscratching;4;0
paw;baseline;FH;G3F2;baseline;backscratching;5;0
paw;baseline;FH;G3F2;baseline;backscratching;6;0
paw;test;FH;G3F2;formalin;backscratching;1;1
paw;test;FH;G3F2;formalin;backscratching;2;10
paw;test;FH;G3F2;formalin;backscratching;3;4
paw;test;FH;G3F2;formalin;backscratching;4;6
paw;test;FH;G3F2;formalin;backscratching;5;1
paw;test;FH;G3F2;formalin;backscratching;6;0
paw;baseline;FH;G3F3;baseline;backscratching;1;0
paw;baseline;FH;G3F3;baseline;backscratching;2;0
paw;baseline;FH;G3F3;baseline;backscratching;3;0
paw;baseline;FH;G3F3;baseline;backscratching;4;0
paw;baseline;FH;G3F3;baseline;backscratching;5;0
paw;baseline;FH;G3F3;baseline;backscratching;6;0
paw;test;FH;G3F3;formalin;backscratching;1;0
paw;test;FH;G3F3;formalin;backscratching;2;0
paw;test;FH;G3F3;formalin;backscratching;3;0
paw;test;FH;G3F3;formalin;backscratching;4;0
paw;test;FH;G3F3;formalin;backscratching;5;0
paw;test;FH;G3F3;formalin;backscratching;6;0
paw;baseline;FH;G6M3;baseline;backscratching;1;0
paw;baseline;FH;G6M3;baseline;backscratching;2;0
paw;baseline;FH;G6M3;baseline;backscratching;3;0
paw;baseline;FH;G6M3;baseline;backscratching;4;0
paw;baseline;FH;G6M3;baseline;backscratching;5;1
paw;baseline;FH;G6M3;baseline;backscratching;6;0
paw;test;FH;G6M3;formalin;backscratching;1;0
paw;test;FH;G6M3;formalin;backscratching;2;0
paw;test;FH;G6M3;formalin;backscratching;3;3
paw;test;FH;G6M3;formalin;backscratching;4;0
paw;test;FH;G6M3;formalin;backscratching;5;2
paw;test;FH;G6M3;formalin;backscratching;6;0
paw;baseline;FH;G6M4;baseline;backscratching;1;0
paw;baseline;FH;G6M4;baseline;backscratching;2;0
paw;baseline;FH;G6M4;baseline;backscratching;3;0
paw;baseline;FH;G6M4;baseline;backscratching;4;1
paw;baseline;FH;G6M4;baseline;backscratching;5;0
paw;baseline;FH;G6M4;baseline;backscratching;6;0
paw;test;FH;G6M4;formalin;backscratching;1;0
paw;test;FH;G6M4;formalin;backscratching;2;2
paw;test;FH;G6M4;formalin;backscratching;3;2
paw;test;FH;G6M4;formalin;backscratching;4;2
paw;test;FH;G6M4;formalin;backscratching;5;0
paw;test;FH;G6M4;formalin;backscratching;6;0
paw;baseline;FH;G8M1;baseline;backscratching;1;0
paw;baseline;FH;G8M1;baseline;backscratching;2;0
